INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,University of Washington-Seattle Campus,Education,14,-122.3131299,47.65621862
Arizona State University-Downtown Phoenix,-112.073232,33.45343512,Phoenix,AZ,Arizona State University-Downtown Phoenix,Education,16,-112.073232,33.45343512
University of Virginia-Main Campus,-78.5034307,38.03567256,Charlottesville,VA,University of Virginia-Main Campus,Education,17,-78.5034307,38.03567256
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Education,18,-122.2604762,37.87192296
University of Kansas,-95.2475746,38.95855592,Lawrence,KS,University of Kansas,Education,18,-95.2475746,38.95855592
Virginia Commonwealth University,-77.45359934,37.54763849,Richmond,VA,Virginia Commonwealth University,Education,20,-77.45359934,37.54763849
Massachusetts Institute of Technology,-71.0921156,42.36010367,Cambridge,MA,Massachusetts Institute of Technology,Engineering,1,-71.0921156,42.36010367
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Engineering,2,-122.1644471,37.42953693
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Engineering,3,-122.2604762,37.87192296
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Engineering,4,-79.9429173,40.44462397
California Institute of Technology,-118.1257522,34.13927987,Pasadena,CA,California Institute of Technology,Engineering,5,-118.1257522,34.13927987
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Engineering,5,-83.74277362,42.27592913
Georgia Institute of Technology-Main Campus,-84.39483621,33.77242644,Atlanta,GA,Georgia Institute of Technology-Main Campus,Engineering,7,-84.39483621,33.77242644
Purdue University-Main Campus,-86.9144404,40.42821364,West Lafayette,IN,Purdue University-Main Campus,Engineering,8,-86.9144404,40.42821364
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Engineering,9,-118.2841812,34.02128585
University of Illinois at Urbana-Champaign,-88.23031476,40.10887151,Champaign,IL,University of Illinois at Urbana-Champaign,Engineering,10,-88.23031476,40.10887151
Columbia University in the City of New York,-73.96188644,40.80829428,New York,NY,Columbia University in the City of New York,Engineering,11,-73.96188644,40.80829428
University of California-San Diego,-117.2378049,32.87660278,La Jolla,CA,University of California-San Diego,Engineering,11,-117.2378049,32.87660278
